Channel,Category,Sub Category,Manufacturer,Brand,Revenue,Date,Units,Price,Price Tier
MASS,FRAG MASS,WOMEN,CHANEL INC,CHANEL,0,8/1/2017,82,0,a.less than $25
PRESTIGE,FRAGRANCES,MEN,CHANEL INC,CHANEL,6253422,8/1/2017,23,271888,d.$100+
PRESTIGE,FRAGRANCES,WOMEN,CHANEL INC,CHANEL,17512844,8/1/2017,87,201297,d.$100+
PRESTIGE,MAKEUP,MAKEUP TOTAL ALL OTHER,CHANEL INC,CHANEL,-957,8/1/2017,58,-17,a.less than $25
PRESTIGE,MAKEUP,MAKEUP TOTAL EYE,CHANEL INC,CHANEL,3763488,8/1/2017,56,67205,c.$50 - $100
PRESTIGE,MAKEUP,MAKEUP TOTAL FACE,CHANEL INC,CHANEL,5192224,8/1/2017,23,225749,d.$100+
PRESTIGE,MAKEUP,MAKEUP TOTAL LIP,CHANEL INC,CHANEL,3050499,8/1/2017,75,40673,c.$50 - $100
PRESTIGE,MAKEUP,MAKEUP TOTAL NAIL,CHANEL INC,CHANEL,265180,8/1/2017,51,5200,c.$50 - $100
PRESTIGE,MAKEUP,MAKEUP TOTAL SETS,CHANEL INC,CHANEL,97821,8/1/2017,60,1630,a.less than $25
PRESTIGE,SKINCARE,SKINCARE TOTAL BODY,CHANEL INC,CHANEL,10255,8/1/2017,71,144,a.less than $25
PRESTIGE,SKINCARE,SKINCARE TOTAL FACE,CHANEL INC,CHANEL,5306821,8/1/2017,42,126353,d.$100+
PRESTIGE,SKINCARE,SKINCARE TOTAL SETS & KITS,CHANEL INC,CHANEL,48754,8/1/2017,49,995,a.less than $25
PRESTIGE,SKINCARE,SKINCARE TOTAL SUN,CHANEL INC,CHANEL,117054,8/1/2017,79,1482,a.less than $25
MASS,FRAG MASS,WOMEN,CHANEL INC,CHANEL,0,9/1/2017,34,0,a.less than $25
PRESTIGE,FRAGRANCES,MEN,CHANEL INC,CHANEL,8624949,9/1/2017,22,392043,d.$100+
PRESTIGE,FRAGRANCES,WOMEN,CHANEL INC,CHANEL,25848532,9/1/2017,99,261096,d.$100+
PRESTIGE,MAKEUP,MAKEUP TOTAL ALL OTHER,CHANEL INC,CHANEL,226,9/1/2017,30,8,a.less than $25
PRESTIGE,MAKEUP,MAKEUP TOTAL EYE,CHANEL INC,CHANEL,4792032,9/1/2017,79,60659,c.$50 - $100
PRESTIGE,MAKEUP,MAKEUP TOTAL FACE,CHANEL INC,CHANEL,8548540,9/1/2017,91,93940,c.$50 - $100
PRESTIGE,MAKEUP,MAKEUP TOTAL LIP,CHANEL INC,CHANEL,4518748,9/1/2017,68,66452,c.$50 - $100
PRESTIGE,MAKEUP,MAKEUP TOTAL NAIL,CHANEL INC,CHANEL,344548,9/1/2017,98,3516,b.$25 - $50
PRESTIGE,MAKEUP,MAKEUP TOTAL SETS,CHANEL INC,CHANEL,39032,9/1/2017,52,751,a.less than $25
PRESTIGE,SKINCARE,SKINCARE TOTAL BODY,CHANEL INC,CHANEL,18260,9/1/2017,94,194,a.less than $25
PRESTIGE,SKINCARE,SKINCARE TOTAL FACE,CHANEL INC,CHANEL,8078371,9/1/2017,97,83282,c.$50 - $100
PRESTIGE,SKINCARE,SKINCARE TOTAL SETS & KITS,CHANEL INC,CHANEL,63714,9/1/2017,27,2360,a.less than $25
PRESTIGE,SKINCARE,SKINCARE TOTAL SUN,CHANEL INC,CHANEL,132698,9/1/2017,8,16587,c.$50 - $100
MASS,FRAG MASS,WOMEN,CHANEL INC,CHANEL,7630.65,10/1/2017,45,170,a.less than $25
PRESTIGE,FRAGRANCES,MEN,CHANEL INC,CHANEL,6503186,10/1/2017,95,68455,c.$50 - $100
PRESTIGE,FRAGRANCES,WOMEN,CHANEL INC,CHANEL,19619762,10/1/2017,77,254802,d.$100+
PRESTIGE,MAKEUP,MAKEUP TOTAL ALL OTHER,CHANEL INC,CHANEL,93058,10/1/2017,5,18612,c.$50 - $100
PRESTIGE,MAKEUP,MAKEUP TOTAL EYE,CHANEL INC,CHANEL,3522312,10/1/2017,92,38286,c.$50 - $100
PRESTIGE,MAKEUP,MAKEUP TOTAL FACE,CHANEL INC,CHANEL,6011432,10/1/2017,96,62619,c.$50 - $100
PRESTIGE,MAKEUP,MAKEUP TOTAL LIP,CHANEL INC,CHANEL,3776869,10/1/2017,98,38539,c.$50 - $100
PRESTIGE,MAKEUP,MAKEUP TOTAL NAIL,CHANEL INC,CHANEL,263329,10/1/2017,24,10972,c.$50 - $100
PRESTIGE,MAKEUP,MAKEUP TOTAL SETS,CHANEL INC,CHANEL,274919,10/1/2017,40,6873,c.$50 - $100
PRESTIGE,SKINCARE,SKINCARE TOTAL BODY,CHANEL INC,CHANEL,12779,10/1/2017,98,130,a.less than $25
PRESTIGE,SKINCARE,SKINCARE TOTAL FACE,CHANEL INC,CHANEL,5522088,10/1/2017,91,60682,c.$50 - $100
PRESTIGE,SKINCARE,SKINCARE TOTAL SETS & KITS,CHANEL INC,CHANEL,41358,10/1/2017,37,1118,a.less than $25
PRESTIGE,SKINCARE,SKINCARE TOTAL SUN,CHANEL INC,CHANEL,75495,10/1/2017,39,1936,a.less than $25
MASS,FRAG MASS,WOMEN,CHANEL INC,CHANEL,0,11/1/2017,87,0,a.less than $25
PRESTIGE,FRAGRANCES,MEN,CHANEL INC,CHANEL,9279552,11/1/2017,2,4639776,d.$100+
PRESTIGE,FRAGRANCES,WOMEN,CHANEL INC,CHANEL,28991460,11/1/2017,99,292843,d.$100+
PRESTIGE,MAKEUP,MAKEUP TOTAL ALL OTHER,CHANEL INC,CHANEL,195492,11/1/2017,6,32582,c.$50 - $100
PRESTIGE,MAKEUP,MAKEUP TOTAL EYE,CHANEL INC,CHANEL,4930837,11/1/2017,21,234802,d.$100+
PRESTIGE,MAKEUP,MAKEUP TOTAL FACE,CHANEL INC,CHANEL,6521522,11/1/2017,48,135865,d.$100+
PRESTIGE,MAKEUP,MAKEUP TOTAL LIP,CHANEL INC,CHANEL,3914785,11/1/2017,23,170208,d.$100+
PRESTIGE,MAKEUP,MAKEUP TOTAL NAIL,CHANEL INC,CHANEL,280066,11/1/2017,40,7002,c.$50 - $100
PRESTIGE,MAKEUP,MAKEUP TOTAL SETS,CHANEL INC,CHANEL,639365,11/1/2017,67,9543,c.$50 - $100
