Customer Segment,Product Category,Region,Date,Sales
Consumer,Furniture,Central,2010-01-01,690.77
Consumer,Furniture,Central,2010-01-02,5303.17
Consumer,Furniture,Central,2010-01-04,1547.77
Consumer,Furniture,Central,2010-01-06,3234.12
Consumer,Furniture,Central,2010-01-07,205.98
Consumer,Furniture,Central,2010-01-08,8250.49
Consumer,Furniture,Central,2010-01-09,17.44
Consumer,Furniture,Central,2010-01-10,1818.41
Consumer,Furniture,Central,2010-01-12,13620.81
Consumer,Furniture,Central,2011-01-01,1259.92
Consumer,Furniture,Central,2011-01-02,3709.43
Consumer,Furniture,Central,2011-01-04,507.76
Consumer,Furniture,Central,2011-01-05,286.65
Consumer,Furniture,Central,2011-01-06,371.47
Consumer,Furniture,Central,2011-01-07,78.62
Consumer,Furniture,Central,2011-01-08,965.32
Consumer,Furniture,Central,2011-01-09,1383.22
Consumer,Furniture,Central,2011-01-10,2254.48
Consumer,Furniture,Central,2011-01-11,16.73
Consumer,Furniture,Central,2011-01-12,13123.74
Consumer,Furniture,Central,2012-01-01,726.98
Consumer,Furniture,Central,2012-01-02,5586.94
Consumer,Furniture,Central,2012-01-03,517.13
Consumer,Furniture,Central,2012-01-04,2128.82
Consumer,Furniture,Central,2012-01-05,4603.29
Consumer,Furniture,Central,2012-01-06,43.47
Consumer,Furniture,Central,2012-01-07,599.56
Consumer,Furniture,Central,2012-01-09,334.17
Consumer,Furniture,Central,2012-01-10,440.01
Consumer,Furniture,Central,2012-01-11,38312.01
Consumer,Furniture,Central,2012-01-12,18707.27
Consumer,Furniture,Central,2013-01-01,7368.24
Consumer,Furniture,Central,2013-01-02,20.51
Consumer,Furniture,Central,2013-01-03,1517.87
Consumer,Furniture,Central,2013-01-05,854.52
Consumer,Furniture,Central,2013-01-06,1362.33
Consumer,Furniture,Central,2013-01-07,9271.43
Consumer,Furniture,Central,2013-01-08,7011.8
Consumer,Furniture,Central,2013-01-09,3183.7
Consumer,Furniture,Central,2013-01-10,1626.07
Consumer,Furniture,Central,2013-01-11,5731.02
Consumer,Furniture,Central,2013-01-12,7323.44
Consumer,Furniture,East,2010-01-01,5186.98
Consumer,Furniture,East,2010-01-02,181.43
Consumer,Furniture,East,2010-01-03,1828.22
Consumer,Furniture,East,2010-01-04,11901.21
Consumer,Furniture,East,2010-01-05,4849.13
Consumer,Furniture,East,2010-01-06,3171.32
Consumer,Furniture,East,2010-01-07,318.18
Consumer,Furniture,East,2010-01-08,3596.03
Consumer,Furniture,East,2010-01-09,5362.72
Consumer,Furniture,East,2010-01-10,30706.84
Consumer,Furniture,East,2011-01-01,299.65
Consumer,Furniture,East,2011-01-03,2920.42
Consumer,Furniture,East,2011-01-04,2670.59
Consumer,Furniture,East,2011-01-05,4820.94
Consumer,Furniture,East,2011-01-06,12690.11
Consumer,Furniture,East,2011-01-07,3397.19
Consumer,Furniture,East,2011-01-08,8.12
Consumer,Furniture,East,2011-01-09,2615.6
Consumer,Furniture,East,2011-01-10,3235.26
Consumer,Furniture,East,2011-01-11,6329.61
Consumer,Furniture,East,2011-01-12,7775.95
Consumer,Furniture,East,2012-01-01,4469.73
Consumer,Furniture,East,2012-01-02,801.04
Consumer,Furniture,East,2012-01-03,2497.94
Consumer,Furniture,East,2012-01-04,15.13
Consumer,Furniture,East,2012-01-06,544.61
Consumer,Furniture,East,2012-01-08,12784.19
Consumer,Furniture,East,2012-01-09,2558.99
Consumer,Furniture,East,2012-01-11,4741.04
Consumer,Furniture,East,2012-01-12,604.31
Consumer,Furniture,East,2013-01-01,69.37
Consumer,Furniture,East,2013-01-02,4970.5
Consumer,Furniture,East,2013-01-03,2160.18
Consumer,Furniture,East,2013-01-04,4995.78
Consumer,Furniture,East,2013-01-05,222.62
Consumer,Furniture,East,2013-01-06,6550.67
Consumer,Furniture,East,2013-01-07,11123.07
Consumer,Furniture,East,2013-01-08,4614.37
Consumer,Furniture,East,2013-01-09,3850.85
Consumer,Furniture,East,2013-01-10,1830.74
Consumer,Furniture,East,2013-01-11,1737.69
Consumer,Furniture,East,2013-01-12,1281.55
Consumer,Furniture,South,2010-01-01,992.63
Consumer,Furniture,South,2010-01-02,350.48
Consumer,Furniture,South,2010-01-03,2614.45
Consumer,Furniture,South,2010-01-04,7413.55
Consumer,Furniture,South,2010-01-05,2860.05
Consumer,Furniture,South,2010-01-07,1336.35
Consumer,Furniture,South,2010-01-08,894.88
Consumer,Furniture,South,2010-01-09,198.67
Consumer,Furniture,South,2010-01-10,2161.88
Consumer,Furniture,South,2010-01-12,605.82
Consumer,Furniture,South,2011-01-01,1358.02
Consumer,Furniture,South,2011-01-02,1346
Consumer,Furniture,South,2011-01-03,10.89
Consumer,Furniture,South,2011-01-04,62.6
Consumer,Furniture,South,2011-01-05,3950.43
Consumer,Furniture,South,2011-01-06,834.1
Consumer,Furniture,South,2011-01-07,978.41
Consumer,Furniture,South,2011-01-08,5376.7
Consumer,Furniture,South,2011-01-09,1467.01
Consumer,Furniture,South,2011-01-10,321.08
Consumer,Furniture,South,2011-01-12,122.4
Consumer,Furniture,South,2012-01-01,592.86
Consumer,Furniture,South,2012-01-04,3490.5
Consumer,Furniture,South,2012-01-05,425.88
Consumer,Furniture,South,2012-01-06,385.37
Consumer,Furniture,South,2012-01-07,419.59
